id,ra,dec,rad,tmin,duration,caldb,irf,emin,emax
000048,202.9012,-63.4974,  5.0000,662966400.0000,1800.0000,prod3b-v2,South_z40_50h,0.013,199.0
000049,203.2419,-63.4731,  5.0000,662968320.0000,1800.0000,prod3b-v2,South_z40_50h,0.013,199.0
000050,203.5821,-63.4480,  5.0000,662970240.0000,1800.0000,prod3b-v2,South_z40_50h,0.013,199.0
000051,203.9216,-63.4221,  5.0000,662972160.0000,1800.0000,prod3b-v2,South_z40_50h,0.013,199.0
000052,204.2605,-63.3954,  5.0000,662974080.0000,1800.0000,prod3b-v2,South_z40_50h,0.013,199.0
000053,204.5988,-63.3679,  5.0000,662976000.0000,1800.0000,prod3b-v2,South_z40_50h,0.013,199.0
000054,204.9365,-63.3396,  5.0000,662977920.0000,1800.0000,prod3b-v2,South_z40_50h,0.013,199.0
000055,205.2734,-63.3105,  5.0000,662979840.0000,1800.0000,prod3b-v2,South_z40_50h,0.013,199.0
000056,205.6097,-63.2806,  5.0000,662981760.0000,1800.0000,prod3b-v2,South_z40_50h,0.013,199.0
000057,205.9453,-63.2500,  5.0000,663033600.0000,1800.0000,prod3b-v2,South_z40_50h,0.013,199.0
000058,206.2801,-63.2185,  5.0000,663035520.0000,1800.0000,prod3b-v2,South_z40_50h,0.013,199.0
000059,206.6143,-63.1863,  5.0000,663037440.0000,1800.0000,prod3b-v2,South_z40_50h,0.013,199.0
000060,206.9477,-63.1533,  5.0000,663039360.0000,1800.0000,prod3b-v2,South_z40_50h,0.013,199.0
000061,207.2803,-63.1196,  5.0000,663041280.0000,1800.0000,prod3b-v2,South_z40_50h,0.013,199.0
000062,207.6121,-63.0850,  5.0000,663043200.0000,1800.0000,prod3b-v2,South_z40_50h,0.013,199.0
000063,207.9432,-63.0497,  5.0000,663045120.0000,1800.0000,prod3b-v2,South_z40_50h,0.013,199.0
000064,208.2734,-63.0137,  5.0000,663047040.0000,1800.0000,prod3b-v2,South_z40_50h,0.013,199.0
000065,208.6028,-62.9769,  5.0000,663048960.0000,1800.0000,prod3b-v2,South_z40_50h,0.013,199.0
000066,208.9314,-62.9393,  5.0000,663050880.0000,1800.0000,prod3b-v2,South_z40_50h,0.013,199.0
000067,209.2591,-62.9009,  5.0000,663052800.0000,1800.0000,prod3b-v2,South_z40_50h,0.013,199.0
000068,209.5860,-62.8619,  5.0000,663054720.0000,1800.0000,prod3b-v2,South_z40_50h,0.013,199.0
000069,209.9120,-62.8220,  5.0000,663056640.0000,1800.0000,prod3b-v2,South_z40_50h,0.013,199.0
000070,210.2371,-62.7814,  5.0000,663058560.0000,1800.0000,prod3b-v2,South_z40_50h,0.013,199.0
000071,210.5614,-62.7401,  5.0000,663060480.0000,1800.0000,prod3b-v2,South_z40_50h,0.013,199.0
000072,210.8847,-62.6980,  5.0000,663062400.0000,1800.0000,prod3b-v2,South_z40_50h,0.013,199.0
000073,211.2071,-62.6553,  5.0000,663064320.0000,1800.0000,prod3b-v2,South_z40_50h,0.013,199.0
000074,211.5285,-62.6117,  5.0000,663066240.0000,1800.0000,prod3b-v2,South_z40_50h,0.013,199.0
000075,211.8490,-62.5675,  5.0000,663068160.0000,1800.0000,prod3b-v2,South_z40_50h,0.013,199.0
