Time[kyr]	Energy[TeV]	Diff_spectrum[TeV/s]
0.1	0.03162277660168379	4.3690395080519317e-16
0.1	0.03957636451737871	4.26234920080141e-16
0.1	0.049530395390044064	4.1619518373633754e-16
0.1	0.06198800969747555	4.071214460342795e-16
0.1	0.07757889506019756	3.9905063081459417e-16
0.1	0.09709111468707553	3.9197286610635475e-16
0.1	0.12151094113758888	3.8585387311655583e-16
0.1	0.1520727088542537	3.8063647427921804e-16
0.1	0.19032120533149788	3.762411855294496e-16
0.1	0.23818975457029212	3.72566273161756e-16
0.1	0.2980979396564727	3.6948763925584073e-16
0.1	0.3730739039877967	3.668588440808531e-16
0.1	0.4669074130371087	3.6451160200282326e-16
0.1	0.5843414133735175	3.622568825717514e-16
0.1	0.73131177156149	3.598865107609988e-16
0.1	0.9152473108773888	3.5717469856151444e-16
0.1	1.145445311620912	3.538791473266395e-16
0.1	1.433541455212313	3.497426895438673e-16
0.1	1.7940979660601692	3.4449817471626104e-16
0.1	2.2453396796568557	3.378766354123088e-16
0.1	2.8100752424979167	3.296183723269911e-16
0.1	3.5168500071697446	3.1948700196836296e-16
0.1	4.401388897307794	3.0728645595219713e-16
0.1	5.508402174062154	2.9288048819809176e-16
0.1	6.8938453790739365	2.7621374135709933e-16
0.1	8.627747685955875	2.573328226499269e-16
0.1	10.797751623277094	2.3640507715200124e-16
0.1	13.513543089324356	2.13732130971227e-16
0.1	16.9123955799608	1.897546323094962e-16
0.1	21.16610887037016	1.6504455740118884e-16
0.1	26.48969287610527	1.4028177131935153e-16
0.1	33.15223563140027	1.1621291438501083e-16
0.1	41.490504721981516	9.359285805418555e-17
0.1	51.92596967591172	7.311241807065567e-17
0.1	64.986105733132	5.532021964398959e-17
0.1	81.33105582266927	4.0551289414132434e-17
0.1	101.78699841461257	2.8878863103391986e-17
0.1	127.38790787182369	2.010684047111906e-17
0.1	159.427818137042	1.381498518575924e-17
0.1	199.52623149688787	9.454350268613402e-18
0.10608183551394486	0.03162277660168379	4.595993650078896e-16
0.10608183551394486	0.03957636451737871	4.483594314527937e-16
0.10608183551394486	0.049530395390044064	4.377788715124135e-16
0.10608183551394486	0.06198800969747555	4.2821148341917707e-16
0.10608183551394486	0.07757889506019756	4.1969559878766604e-16
0.10608183551394486	0.09709111468707553	4.1222024971797274e-16
0.10608183551394486	0.12151094113758888	4.057487232604672e-16
0.10608183551394486	0.1520727088542537	4.0022014930286705e-16
0.10608183551394486	0.19032120533149788	3.9555012878853237e-16
0.10608183551394486	0.23818975457029212	3.9163080387084064e-16
0.10608183551394486	0.2980979396564727	3.883307546737947e-16
0.10608183551394486	0.3730739039877967	3.854950491496135e-16
