Num_SNR	POS_X	POS_Y	POS_Z	n0	type	age[kyr]	size	SNR_radius[pc]	E[TeV]	diff_spectrum
0	0.04280927265037228	-4.035126456688244	0.45345345345345345	2.311381959125485	1	8.73522901655676	6.324681248224472	8.629887907619183	0.1	6.030858825197738e-13
0	0.04280927265037228	-4.035126456688244	0.45345345345345345	2.311381959125485	1	8.73522901655676	6.324681248224472	8.629887907619183	0.13433993325989002	5.651683213997971e-13
0	0.04280927265037228	-4.035126456688244	0.45345345345345345	2.311381959125485	1	8.73522901655676	6.324681248224472	8.629887907619183	0.18047217668271703	5.28331259759616e-13
0	0.04280927265037228	-4.035126456688244	0.45345345345345345	2.311381959125485	1	8.73522901655676	6.324681248224472	8.629887907619183	0.24244620170823283	4.924554750549335e-13
0	0.04280927265037228	-4.035126456688244	0.45345345345345345	2.311381959125485	1	8.73522901655676	6.324681248224472	8.629887907619183	0.3257020655659783	4.57383859733482e-13
0	0.04280927265037228	-4.035126456688244	0.45345345345345345	2.311381959125485	1	8.73522901655676	6.324681248224472	8.629887907619183	0.43754793750741844	4.2294309988707827e-13
0	0.04280927265037228	-4.035126456688244	0.45345345345345345	2.311381959125485	1	8.73522901655676	6.324681248224472	8.629887907619183	0.5878016072274912	3.8897050954289757e-13
0	0.04280927265037228	-4.035126456688244	0.45345345345345345	2.311381959125485	1	8.73522901655676	6.324681248224472	8.629887907619183	0.7896522868499725	3.55343623168336e-13
0	0.04280927265037228	-4.035126456688244	0.45345345345345345	2.311381959125485	1	8.73522901655676	6.324681248224472	8.629887907619183	1.0608183551394483	3.22003024488744e-13
0	0.04280927265037228	-4.035126456688244	0.45345345345345345	2.311381959125485	1	8.73522901655676	6.324681248224472	8.629887907619183	1.4251026703029979	2.8895813068177584e-13
0	0.04280927265037228	-4.035126456688244	0.45345345345345345	2.311381959125485	1	8.73522901655676	6.324681248224472	8.629887907619183	1.9144819761699576	2.562893045958805e-13
0	0.04280927265037228	-4.035126456688244	0.45345345345345345	2.311381959125485	1	8.73522901655676	6.324681248224472	8.629887907619183	2.5719138090593443	2.2415830895997653e-13
0	0.04280927265037228	-4.035126456688244	0.45345345345345345	2.311381959125485	1	8.73522901655676	6.324681248224472	8.629887907619183	3.455107294592218	1.928164794578972e-13
0	0.04280927265037228	-4.035126456688244	0.45345345345345345	2.311381959125485	1	8.73522901655676	6.324681248224472	8.629887907619183	4.6415888336127775	1.6260513805023608e-13
0	0.04280927265037228	-4.035126456688244	0.45345345345345345	2.311381959125485	1	8.73522901655676	6.324681248224472	8.629887907619183	6.235507341273912	1.3394471488501278e-13
0	0.04280927265037228	-4.035126456688244	0.45345345345345345	2.311381959125485	1	8.73522901655676	6.324681248224472	8.629887907619183	8.376776400682916	1.0730966779202694e-13
0	0.04280927265037228	-4.035126456688244	0.45345345345345345	2.311381959125485	1	8.73522901655676	6.324681248224472	8.629887907619183	11.253355826007645	8.318769397704086e-14
0	0.04280927265037228	-4.035126456688244	0.45345345345345345	2.311381959125485	1	8.73522901655676	6.324681248224472	8.629887907619183	15.117750706156615	6.202454432766015e-14
0	0.04280927265037228	-4.035126456688244	0.45345345345345345	2.311381959125485	1	8.73522901655676	6.324681248224472	8.629887907619183	20.309176209047347	4.4160009288093754e-14
